Date,NPI,Year,Month
196004,1014.8,1960,04
196005,1014.86,1960,05
196006,1016.56,1960,06
196007,1017.04,1960,07
196008,1016.99,1960,08
196009,1016.06,1960,09
196010,1011.9,1960,10
196011,1012.13,1960,11
196012,1005.51,1960,12
196101,999.58,1961,01
196102,1006.77,1961,02
196103,1010.35,1961,03
196104,1018.12,1961,04
196105,1014.96,1961,05
196106,1016.41,1961,06
196107,1018.28,1961,07
196108,1015.77,1961,08
196109,1015.82,1961,09
196110,1015.66,1961,10
196111,1012.5,1961,11
196112,1009.84,1961,12
196201,1010.11,1962,01
196202,1007.67,1962,02
196203,1013.3,1962,03
196204,1018.47,1962,04
196205,1018.18,1962,05
196206,1016.76,1962,06
196207,1018.25,1962,07
196208,1017.08,1962,08
196209,1015.64,1962,09
196210,1010.95,1962,10
196211,1008.45,1962,11
196212,1006.72,1962,12
196301,1002.47,1963,01
196302,1002.31,1963,02
196303,1017.38,1963,03
196304,1017.52,1963,04
196305,1015.84,1963,05
196306,1016.34,1963,06
196307,1018.47,1963,07
196308,1016.3,1963,08
196309,1010.69,1963,09
196310,1012.35,1963,10
196311,1011.29,1963,11
196312,1003.24,1963,12
196401,1006.28,1964,01
196402,1010.02,1964,02
196403,1014.55,1964,03
196404,1019.47,1964,04
196405,1020.82,1964,05
196406,1013.77,1964,06
196407,1016.53,1964,07
196408,1016.02,1964,08
196409,1015.03,1964,09
196410,1014.25,1964,10
196411,1012.16,1964,11
196412,1010.71,1964,12
196501,1005.68,1965,01
196502,1010,1965,02
196503,1010.87,1965,03
196504,1015.95,1965,04
196505,1016.29,1965,05
196506,1014.16,1965,06
196507,1017.4,1965,07
196508,1015.65,1965,08
196509,1014.99,1965,09
196510,1011.97,1965,10
196511,1013.94,1965,11
196512,1013.28,1965,12
196601,1004.24,1966,01
196602,1012.75,1966,02
196603,1012.16,1966,03
196604,1015.58,1966,04
196605,1016.23,1966,05
196606,1014.01,1966,06
196607,1017.62,1966,07
196608,1016.28,1966,08
196609,1010.33,1966,09
196610,1014.31,1966,10
196611,1015.43,1966,11
196612,1006.73,1966,12
196701,1008.04,1967,01
196702,1008.75,1967,02
196703,1015.84,1967,03
196704,1020.99,1967,04
196705,1018.42,1967,05
196706,1014.38,1967,06
196707,1019.02,1967,07
196708,1014.02,1967,08
196709,1010.17,1967,09
196710,1010.3,1967,10
196711,1012.61,1967,11
196712,1010.04,1967,12
196801,1010.08,1968,01
196802,1000.05,1968,02
196803,1012.31,1968,03
196804,1017.29,1968,04
196805,1016.17,1968,05
196806,1016.22,1968,06
196807,1015.89,1968,07
196808,1015.24,1968,08
196809,1015.92,1968,09
196810,1010.72,1968,10
196811,1006.37,1968,11
196812,1013.57,1968,12
196901,1012.41,1969,01
196902,1008.91,1969,02
196903,1012.89,1969,03
196904,1012.34,1969,04
196905,1012.72,1969,05
196906,1013.23,1969,06
196907,1018.99,1969,07
196908,1016.86,1969,08
196909,1012.16,1969,09
196910,1010.56,1969,10
196911,1010.41,1969,11
196912,1001.77,1969,12
197001,1005.97,1970,01
197002,1002.61,1970,02
197003,1007.91,1970,03
197004,1017.11,1970,04
197005,1016.85,1970,05
197006,1014.65,1970,06
197007,1016.1,1970,07
197008,1016.81,1970,08
197009,1014.34,1970,09
197010,1014.48,1970,10
197011,1014.31,1970,11
197012,1011.85,1970,12
197101,1012.4,1971,01
197102,1007.64,1971,02
197103,1011.21,1971,03
197104,1014.75,1971,04
197105,1014.25,1971,05
197106,1014.46,1971,06
197107,1016.26,1971,07
197108,1015.26,1971,08
197109,1015.27,1971,09
197110,1015.2,1971,10
197111,1011.73,1971,11
197112,1014.19,1971,12
197201,1012.72,1972,01
197202,1010.69,1972,02
197203,1009.85,1972,03
197204,1019.8,1972,04
197205,1014.76,1972,05
197206,1015.53,1972,06
197207,1017.95,1972,07
197208,1014.64,1972,08
197209,1014.78,1972,09
197210,1014.9,1972,10
197211,1009.7,1972,11
197212,1010.73,1972,12
197301,1008.32,1973,01
197302,1008.21,1973,02
197303,1010.61,1973,03
197304,1016.76,1973,04
197305,1014.43,1973,05
197306,1015.1,1973,06
197307,1017.62,1973,07
197308,1017.82,1973,08
197309,1014.26,1973,09
197310,1014.8,1973,10
197311,1014.83,1973,11
197312,1005.32,1973,12
197401,1006.61,1974,01
197402,1011.16,1974,02
197403,1007.38,1974,03
197404,1014.53,1974,04
197405,1015.46,1974,05
197406,1015.98,1974,06
197407,1017.06,1974,07
197408,1014.59,1974,08
197409,1014.35,1974,09
197410,1010.74,1974,10
197411,1010.51,1974,11
197412,1006.12,1974,12
197501,1010.94,1975,01
197502,1008.16,1975,02
197503,1014.4,1975,03
197504,1018.88,1975,04
197505,1014.54,1975,05
197506,1016.58,1975,06
197507,1015.8,1975,07
197508,1017.49,1975,08
197509,1016.45,1975,09
197510,1013.76,1975,10
197511,1012.44,1975,11
197512,1007.02,1975,12
197601,1004.08,1976,01
197602,1013.13,1976,02
197603,1013.8,1976,03
197604,1015.31,1976,04
197605,1014.5,1976,05
197606,1015.76,1976,06
197607,1015.07,1976,07
197608,1015.43,1976,08
197609,1011.75,1976,09
